Seller Platfrom,Seller SKU,Manufacturer Name,Manufacturer Code,Product Title,Description,Packaging,QTY,Catagory,Sub Catagory,Product Page URL,Attachment URL,Images URL
Dental City,66-134,Septodont,99167,"C/W Lidocaine HCl 2% & Epinephrine 1:100,000 50/Bx 99167","Cook-Waite Lidocaine HCl 2% and Epinephrine 1:100,000 Injection (lidocaine hydrochloride and epinephrine injection, USP) is a versatile, widely applicable injection delivers local anesthesia for dental procedures, of intermediate duration, by nerve block or infiltration techniques.Features include: Onset time less than 2 minutes and a duration of 60 minues for infiltration. Onset time of 2-4 minutes and a duration of 90 minutes for nerve blocks. No-methylparaben formula to avoid allergic reactions. 100% latex-free components. Terminal sterilization of cartridges for safe use. Mylar label covered glass cartridges minimize risk of wound if a cartridge breaks Item includes: 50 Cartridges. Note: Reactions to Lidocaine and epinephrine are characteristic of those associated with other amide-type local drugs. Please see brief description of prescribing information on the MSDS Sheets tab. . This product is a prescription drug and requires your State License Number to be on file with Dental City before you can purchase this item.",Bx ,50,Anesthetics,Injectable,https://www.dentalcity.com//925/septodont-cook-waite-lidocaine-hcl-2-epinephrine-1100000-50bx?66-134,https://www.dentalcity.com/MSDS/66-134.pdf,https://www.dentalcity.com/CatalogImages/DENLN/19-19309-SkuImage.jpg
Dental City,66-117,Septodont,01-A1400,Septocaine Gold 1:100 4% W/ Epi Articaine 01-A1400,"Septocaine® and epinephrine 1:100,000 by Septodont is an injectable anesthetic containing articaine HCl 4% and epinephrine. Preferred during operative or surgical procedures when improved visualization of the surgical field is desirable.   Works well in simple or complex dental procedures.Features include: Fast onset time of 1 to 9 minutes. Anesthesia duration of up to 60 minutes for infiltration injections and 120 minutes for nerve blocks. 1:100,000 formula is preferred during procedures when improved visualization of surgical field is desired. Methylparaben-free formula and latex-free components reduce risk of allergic responses. Terminal sterilization of product and cartridges for safe use. Mylar label covered glass cartridges minimize risk of wound if a cartridge breaks Item includes: 50 Cartridges. This product is a prescription drug and requires your State License Number to be on file with Dental City before you can purchase this item",,,Anesthetics,Injectable,https://www.dentalcity.com//925/septodont-septocaine-1100-4?66-117,https://www.dentalcity.com/MSDS/66-117.pdf,"['https://www.dentalcity.com/CatalogImages/DENLN/19-19301-SKU_Image1.jpg', 'https://www.dentalcity.com/CatalogImages/DENLN/19-19301-SKU_Image2.jpg']"
Dental City,66-2101051,Pierrel,2101051,"Orabloc Articaine 1:100,000","Orabloc® 1:100,000 Articaine by Pierrel is an injectable anesthetic that provides your practice with the quality you need at the price you want. Orabloc is an amide local anesthetic containing a vasoconstrictor indicated for local, infiltrative, or conductive anesthesia in both simple and complex dental procedures. It is the only aseptically manufactured articaine in the U.S.Product details: Articaine hydrochloride 4% and epinephrine. Rapid onset of anesthesia in 1-9 minutes. Aseptically manufactured (sterilized without heat). Complete anesthesia lasts about 1 hour for infiltration, up to 2 hours for nerve block. Most common adverse reactions are headache and pain. 10% overage of epinephrine. 24 month shelf life when stored at room temperature. Sodium edetate free, methylparaben free and not made with natural rubber latex. Blister packed for maximum protection during storage and handling. Lubricated rubber closures provide precise control during injection. Safe for mandibular block injections Item includes: 50 Cartridges / Box. Additional Resources. VIDEO: Orabloc Benefits Summary. PDF: Discover Orabloc Brochure. PDF: Aseptic vs Terminal Sterilization. This product is a prescription drug and requires your State License Number to be on file with Dental City before you can purchase this item",,,Anesthetics,Injectable,https://www.dentalcity.com//1002/pierrel-orabloc-1100-4?66-2101051,https://www.dentalcity.com/MSDS/66-2101051.pdf,https://www.dentalcity.com/CatalogImages/DENLN/19-47423-SkuImage.jpg
Dental City,66-116,Septodont,99171,Carbocaine 3% Plain Mepivicaine 50/Bx 99171,"Cook-Waite Carbocaine® 3% (mepivacaine hydrochloride injection, USP without vasoconstrictor) is a local dental anesthesia by infiltration or nerve block for use in adult and pediatric patients.Features include: Formulated without vaso-constrictor. Fast onset times: 30 to 120 seconds in the maxilla and 1-4 minutes in the mandible. Duration: 20 minutes in the maxilla and 40 minutes in the mandible. No-methylparaben formula to help reduce allergic responses. Latex-free components. Terminal sterilization of product and cartridges for safe use. Mylar coverd glass cartridges reduce risk of wound if a cartridge breaks Item includes: 50 Cartridges. Note: Please see a description of prescribing information and support on the MSDS Sheets Tab.This product is a prescription drug and requires your State License Number to be on file with Dental City before you can purchase this item",Bx ,50,Anesthetics,Injectable,https://www.dentalcity.com//925/septodont-cook-waite-carbocaine-3-hci?66-116,https://www.dentalcity.com/MSDS/66-116.pdf,https://www.dentalcity.com/CatalogImages/DENLN/19-19299-SkuImage.jpg
Dental City,66-135,Septodont,99169,C/W Lidocaine HCl 2% & Epinephrine 1:50000 50/Bx 99169,"Cook-Waite Lidocaine HCl 2% and Epinephrine 1:50,000 Injection (lidocaine hydrochloride and epinephrine injection, USP) is a versatile, widely applicable injection delivers local anesthesia for dental procedures, of intermediate duration, by nerve block or infiltration techniques.Features include: Onset time less than 2 minutes and a duration of 60 minues for infiltration. Onset time of 2-4 minutes and a duration of 90 minutes for nerve blocks. No-methylparaben formula to avoid allergic reactions. 100% latex-free components. Terminal sterilization of cartridges for safe use. Mylar label covered glass cartridges minimize risk of wound if a cartridge breaks Item includes: 50 Cartridges. Note: Reactions to Lidocaine and epinephrine are characteristic of those associated with other amide-type local drugs. Please see brief description of prescribing information on the MSDS Sheets tab. . This product is a prescription drug and requires your State License Number to be on file with Dental City before you can purchase this item",Bx ,50,Anesthetics,Injectable,https://www.dentalcity.com//925/septodont-cook-waite-lidocaine-hcl-2-epinephrine-150000-50bx?66-135,https://www.dentalcity.com/MSDS/66-135.pdf,https://www.dentalcity.com/CatalogImages/DENLN/19-19310-SkuImage.jpg
Dental City,66-2101052,Pierrel,2101052,"Orabloc Articaine 1:200,000","Orabloc® 1:200,000 Articaine by Pierrel is an injectable anesthetic that provides your practice with the quality you need at the price you want. Orabloc is an amide local anesthetic containing a vasoconstrictor indicated for local, infiltrative, or conductive anesthesia in both simple and complex dental procedures. It is the only aseptically manufactured articaine in the U.S.Product details: Articaine hydrochloride 4% and epinephrine. Rapid onset of anesthesia in 1-9 minutes. Aseptically manufactured (sterilized without heat). Complete anesthesia lasts about 1 hour for infiltration, up to 2 hours for nerve block. Most common adverse reactions are headache and pain. 10% overage of epinephrine. 24 month shelf life when stored at room temperature. Sodium edetate free, methylparaben free and not made with natural rubber latex. Blister packed for maximum protection during storage and handling. Lubricated rubber closures provide precise control during injection. Safe for mandibular block injections Item includes: 50 Cartridges / Box. Additional Resources. VIDEO: Orabloc Summary. PDF: Discover Orabloc Brochure. PDF: Aseptic vs Terminal Sterilization. This product is a prescription drug and requires your State License Number to be on file with Dental City before you can purchase this item.",,,Anesthetics,Injectable,https://www.dentalcity.com//1002/pierrel-orabloc-1200-4?66-2101052,https://www.dentalcity.com/MSDS/66-2101051.pdf,https://www.dentalcity.com/CatalogImages/DENLN/19-47424-SkuImage.jpg
Dental City,66-131,Septodont,99184,"Marcaine 0.5% w/EPI Bupivacaine 1:200,000 50/Bx 99184","Cook-waite Marcaine® (Bupivacaine HCl 0.5% and Epinephrine 1:200,000 Injection, USP) is a local dental anesthesia by nerve block or infiltration for adults.Features include: Duration of anesthesia can be two to three times longer than lidocaine and mepivicaine - up to 7 hours. Onsert time is usually 2 to 10 minutes. No-methylparaben formula to avoid allergic reactions on sensitive patients. Latex-free components to reduce allergic responses. Terminal sterilization of product & cartridges for safe use. Mylar label covered glass cartridges minimize risk of wound if a cartridge breaks Item includes: 50 Cartridges. Note: Please see a description of prescribing information and support on the MSDS sheets tab. . This product is a prescription drug and requires your State License Number to be on file with Dental City before you can purchase this item. . ",Bx ,50,Anesthetics,Injectable,https://www.dentalcity.com//925/septodont-cook-waite-marcaine-hci-5?66-131,https://www.dentalcity.com/MSDS/66-131.pdf,https://www.dentalcity.com/CatalogImages/DENLN/19-19308-SkuImage.jpg
Dental City,66-170,Dentsply Sirona,46616,Citanest Plain 4% Prilocaine 50/Box 46616,"DENTSPLY Citanest® Plain is a fast-onset, of approximately 2 minutes, anesthetic for short and intermediate dental procedures. Providing an intermediate pulpal duration anesthesia (approx. 10 minutes) in the maxilla. In case of inferior adveolar nerve block the onset duration is less than 3 minutes while soft tissue anesthesia lasts for about 2.5 hours.Features include: In case of inferior adveolar nerve block the onset duration is less than 3 minutes while soft tissue anesthesia lasts for 2.5 hours. Cartridges are packed in unique blister trays, which minimize risk of breakage. Cartridges feature siliconized plungers allowing for smooth movement and precise control. Prilocaine HCI injection, USP. Free from natural rubber latex leading to reduced allergic reactions. Lowest dosage that results in effective anesthesia should be used to avoid high plasma levels and serious adverse effects DENTSPLY ensures quality at each step of the produc",Box ,50,Anesthetics,Injectable,https://www.dentalcity.com//712/dentsply-sirona-citanest-plain-4?66-170,https://www.dentalcity.com/MSDS/66-170.pdf,https://www.dentalcity.com/CatalogImages/DENLN/19-19322-SkuImage.jpg
Dental City,66-176,Septodont,01-A1100,"Lignospan Standard 1:100,000 2% Red Lidocaine 01-A1100","Lignospan® Standard (Lidocaine HCl 2% and Epinephrine 1:100,000 Injection, USP) is a local dental anesthesia by nerve block or infiltration.Features include: For infiltration: Onset time of less than 2 minutes and duration of 60 minutes. For Nerve Blocks: Onset time 2-4 minutes and duration of 90 minutes pulpa anestesia. No-methylparaben formula to avoid allergic reactions on sensitive patients. Latex-free components to reduce allergic responses. Terminal sterilization of product & cartridges for safe use. Mylar label covered glass cartridges minimize risk of wound if a cartridge breaks Item includes: 50 Cartridges. This product is a prescription drug and requires your State License Number to be on file with Dental City before you can purchase this item",,,Anesthetics,Injectable,https://www.dentalcity.com//925/septodont-lignospan-standard-1100000-2-red-lidocaine?66-176,https://www.dentalcity.com/MSDS/66-177.pdf,"['https://www.dentalcity.com/CatalogImages/DENLN/19-19323-SKU_Image1.jpg', 'https://www.dentalcity.com/CatalogImages/DENLN/19-19323-SKU_Image2.jpg']"
Dental City,66-127,Septodont,01-A1200,Septocaine Silver 1:200 4% W/ Epi Articaine 01-A1200,"Septocaine® and epinephrine 1:200,000 by Septodont is an injectable anesthetic containing articaine HCl 4% and epinephrine. Preferred for most routine detnal procedures, this local anesthesia works well in simple or complex dental procedures.Features include: Fast onset time of 1 to 9 minutes. Anesthesia duration of up to 60 minutes for infiltration injections and 120 minutes for nerve blocks. Methylparaben-free formula and latex-free components reduce risk of allergic responses. Terminal sterilization of product and cartridges for safe use. Mylar label covered glass cartridges minimize risk of wound if a cartridge breaks Item includes: 50 Cartridges. This product is a prescription drug and requires your State License Number to be on file with Dental City before you can purchase this item",,,Anesthetics,Injectable,https://www.dentalcity.com//925/septodont-septocaine-1200-4?66-127,https://www.dentalcity.com/MSDS/66-117.pdf,https://www.dentalcity.com/CatalogImages/DENLN/19-19307-SkuImage.jpg
Dental City,66-136,Dentsply Sirona,51116,Articadent 4% W/ Epinephrine 1:100 Articaine 50/Box 51116,"DENTSPLY Articadent® Local Anesthesia is excellent when you need a local, infiltrative, or conductive anesthesia in both single and complex dental procedures. 4% Articadent with epinephrine 1:100,000 (gold box) is preferred during operative or surgical procedures when improved visualization of the surgical field is desired.Features include: Onset of 1-9 minutes in infiltration and nerve blocks.  Average pulpal duration of approximately 1 hour in infiltration and approximately 2 hours for nerve blocks. Latex-free blister tray protects cartridges from breakage. Siliconized plunger allows for smooth movement and precise control. The lowest dosage that results in effective anesthesia should be used to avoid high plasma levels and serious adverse effects. Aspiration prior to injection is recommende Item includes: 50 x 1.7mL Cartridges. DENTSPLY ensures quality at each step of the produc",Box ,50,Anesthetics,Injectable,https://www.dentalcity.com//712/dentsply-sirona-articadent-dental-4-1100?66-136,https://www.dentalcity.com/MSDS/66-136.pdf,https://www.dentalcity.com/CatalogImages/DENLN/19-19311-SkuImage.jpg
Dental City,66-163,Dentsply Sirona,48816,Citanest Forte 4% W/ Epi Prilocaine 50/Box 48816,"DENTSPLY 4% Citanest® Forte Dental with Epinephrine 1:200,000 (Prilocaine HCl and Epinephrine Injection, USP) is a reliable anesthetic for both infiltration and nerve block techniques. It prevents less toxicity in the system than other amide base local anesthetics and exits the circulation faster than most of the other local anesthetics.Features include: Rapid onset of around 2 minutes during infiltration with average soft tissue anesthesia of approximately 2 1/3 hours.In case of inferior alveolar nerve block the onset duration is less than 3 minutes while soft tissue anesthesia lasts for 3 hours.Cartridges are packed in unique blister trays, which minimize the risk of breakage.Cartridges feature siliconized plungers which allow for easy, smooth movement.Latex free.Available in boxes of 50 1.8ml cartridges DENTSPLY ensures quality at each step of the produc",Box ,50,Anesthetics,Injectable,https://www.dentalcity.com//712/dentsply-sirona-citanest-forte-4?66-163,https://www.dentalcity.com/MSDS/66-163.pdf,https://www.dentalcity.com/CatalogImages/DENLN/19-19319-SkuImage.jpg
Dental City,66-169,Dentsply Sirona,20016,Xylocaine 1:100 Red Lidocaine 50/Pack 20016,"DENTSPLY Xylocaine Lidocaine HCI and Epinephrine Injection, USP, is a reliable anesthetic for the majority of dental procedures. A number of features and benefits make it a choice of dentists everywhere.Features include: Rapid onset of 2-4 minutes in infiltraion and mandibular nerve blocks.Average pulpal duration of 55-65 minutes in infiltraion and 80-90 minutes in mandibular nerve blocks.Average soft-tissue duration of 2.5 hours in infiltration and 3 to 3.25 hrs. for nerve blocks.Cartridges are packed in unique blister trays which minimize the risk of breakage.Cartridges feature siliconized plungers which allow for smooth movement and precise control.The lowest dosage that results in effective anesthesia should be used to avoid high plasma levels and serious adverse effects.Latex free.Available in boxes of 50 cartridges of 1.7 ml. DENTSPLY ensures quality at each step of the produc",Pack ,50,Anesthetics,Injectable,https://www.dentalcity.com//712/dentsply-sirona-xylocaine-1100-2-red-lidocaine-50pack?66-169,https://www.dentalcity.com/MSDS/66-169.pdf,https://www.dentalcity.com/CatalogImages/DENLN/19-19321-SkuImage.jpg
Dental City,66-160,Dentsply Sirona,34416,Polocaine 3% Plain Mepivicaine 50/Pack 34416,"3% Polocaine® DENTAL (Mepivicaine HCl Injection, USP) from Dentsply Sirona is a local dental anesthetic for nerve block and infiltration.Features include: Rapid onset time of 30 - 120 seconds. Duration: 20 minutes for infiltration & 40 minutes for nerve block. No vasoconstrictor. Cartridges have siliconized plungers for smoother and more precise injections. Cartridges packaged in blister trays to prevent cross contamination Item includes: 50 Cartridges. This product is a prescription drug and requires your State License Number to be on file with Dental City before you can purchase this item.",Pack ,50,Anesthetics,Injectable,https://www.dentalcity.com//712/dentsply-sirona-polocaine-3?66-160,https://www.dentalcity.com/MSDS/66-160.pdf,https://www.dentalcity.com/CatalogImages/DENLN/19-19318-SkuImage.jpg
Dental City,66-177,Septodont,01-A1050,"Lignospan Forte 1:50,000 2% Green Lidocaine 01-A1050","Lignospan® Forte is a Lidocaine HCI 2% and Epinephrine 1:50,000 Injection, USP. It provides local dental anesthesia by nerve block or infiltration. It should be used when more pronounced hemostasis is required. Lignospan when used for infiltration will have an average onset time of less than two minutes and duration of about 60 minutes. When used for nerve blocks the average onset time is 2 to 4 minutes and will provide about 90 minutes of pulpal anesthesia.Features Include:No-methylparaben formulation to avoid allergic reactions on sensitive patients100 percent latex free components to help reduce allergic responsesTerminal sterilization of product/cartridges for safe useMylar label covered glass cartridges to minimize risk of wound in the event of a cartridge breakageCartridges packed 10 to a blister tray to avoid glass to glass contact, hence reducing breakageBox containing 5 blisters of 10 x 1.7 ml glass cartridges1:50,000 injectionUSP, contains 2% EpinephrineThis product is a prescription drug and requires your State License Number to be on file with Dental City before you can purchase this item",,,Anesthetics,Injectable,https://www.dentalcity.com//925/septodont-lignospan-forte-150000-2-green-lidocaine?66-177,https://www.dentalcity.com/MSDS/66-177.pdf,https://www.dentalcity.com/CatalogImages/DENLN/19-19324-SkuImage.jpg
Dental City,66-137,Dentsply Sirona,52216,Articadent 4% W/ Epinephrine 1:200 Articaine 50/Box 52216,"Dentsply Sirona 4% Articaine with Epinephrine 1:200,000 (articaine HCI 4% with epinephrine 1:200,000 injection) Onset of less than 10 minutes in infiltration and nerve blocks.Average pulpal duration of approximately 1 hour for infiltration and up to 2 hours for nerve blocks.Provides improved visualization of the surgical field during operative and surgical procedures.Latex-free.Blister tray protects cartridges from breakage.Siliconized plunger allows for smooth movement and precise control.The lowest dosage that results in effective anesthesia should be used to avoid high plasma levels and serious adverse effects.Aspiration prior to injection is recommended. This product is a prescription drug and requires your State License Number to be on file with Dental City before you can purchase this item",Box ,50,Anesthetics,Injectable,https://www.dentalcity.com//712/dentsply-sirona-articadent-dental-4-1200?66-137,https://www.dentalcity.com/MSDS/66-136.pdf,https://www.dentalcity.com/CatalogImages/DENLN/19-19312-SkuImage.jpg
Dental City,66-99210,Septodont,99210,OraVerse 10/Pack 99210,"Septodont OraVerse® anesthesia reversal agent by Septodont is a breakthrough product that reverses unwanted lingering numbness after routine dental procedures where a local anesthetic containing a vasoconstrictor was used. It is indicated for reversal of soft-tissue anesthesia.In clinical trials, the median time to recovery of normal sensation in the upper lip was 50 minutes for OraVerse patients vs. 133 minutes for the control group; in addition, the lower lip was 70 minutes recovery for OraVerse patients vs. 155 minutes for the control. OraVerse helps patients quickly be able to smile, speak, and drink liquids after procedures, as well as minimizes drooling.Features Include: Phentolamine mesylate injection.Patients should be at least 6 years old and weigh 33 pounds (not recommended for children less than 3 years old).Great for teachers, sales professionals, and medical office personnel.Allows diabetics to stay on their eating schedule.First and only local anesthesia reversal agent. This product is a prescription drug and requires your State License Number to be on file with Dental City before you can purchase this item",Pack ,10,Anesthetics,Injectable,https://www.dentalcity.com//925/septodont-oraverse?66-99210,https://www.dentalcity.com/MSDS/66-99210.pdf,https://www.dentalcity.com/CatalogImages/DENLN/19-19426-SkuImage.jpg
Dental City,66-164,Dentsply Sirona,22216,Xylocaine 1:50 Green Lidocaine 50/Pack 22216,"Dentsply Sirona Xylocaine Lidocaine HCI 2% Epinephrine 1:50,000 Green 1.7mL Injection Rapid onset of 2-4 minutes in infiltration and mandibular nerve blocks.Average pulpal duration of 55-65 minutes in infiltration and 80-90 minutes in mandibular nerve blocks.Average soft-tissue duration of 2.5 hours in infiltration and 3 to 3.25 hours for nerve blocks.Cartridges are packed in unique blister trays which minimize the risk of breakage.Cartridges feature siliconized plungers which allow for smooth movement and precise control.The lowest dosage that results in effective anesthesia should be used to avoid high plasma levels and serious adverse effects.50/box This product is a prescription drug and requires your State License Number to be on file with Dental City before you can purchase this item",Pack ,50,Anesthetics,Injectable,https://www.dentalcity.com//712/dentsply-sirona-xylocaine-150-2-green-lidocaine-50pack?66-164,https://www.dentalcity.com/MSDS/66-169.pdf,https://www.dentalcity.com/CatalogImages/DENLN/19-19320-SkuImage.jpg
Dental City,66-1048022,Premier,1048022,Anesthetic Cartridge Warmer Bulb 1048022,"This cartridge dispenser and warmer is made of white, high-impact polystyrene and holds up to 60 cartridges. The time-saving delivery system also keeps cartridges warm with 110 volts, and can stand alone",,,Anesthetics,Injectable,https://www.dentalcity.com//888/premier-anesthetic-cartridge-warmer-bulb?66-1048022, ,https://www.dentalcity.com/CatalogImages/DENLN/19-19279-SkuImage.jpg
Dental City,66-1048021,Premier,1048021,Anesthetic Cartridge Holder 1048021,"This cartridge dispenser and warmer is made of white, high-impact polystyrene and holds up to 60 cartridges. The time-saving delivery system also keeps cartridges warm with 110 volts, and can stand alone",,,Anesthetics,Injectable,https://www.dentalcity.com//888/premier-anesthetic-cartridge-dispenser-and-warmer?66-1048021, ,https://www.dentalcity.com/CatalogImages/DENLN/19-19278-SkuImage.jpg
Dental City,66-1410,Plasdent,1410,Anesthetic Cartridge Dispenser 1410,"Plasdent Anesthetic Cartridge Holder (Dispenser). Holds 50 anesthetic cartridges.Dimensions: 3"" H x 3.5"" Diameter. ",,,Anesthetics,Injectable,https://www.dentalcity.com//886/plasdent-anesthetic-cartridge-dispenser?66-1410, ,https://www.dentalcity.com/CatalogImages/DENLN/19-19315-SkuImage.jpg
