Author,Quote,Tags
Albert Einstein,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,"{'change': 'https://quotes.toscrape.com/tag/change/page/1/', 'deep-thoughts': 'https://quotes.toscrape.com/tag/deep-thoughts/page/1/', 'thinking': 'https://quotes.toscrape.com/tag/thinking/page/1/', 'world': 'https://quotes.toscrape.com/tag/world/page/1/'}"
Albert Einstein,"“If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.”",{'music': 'https://quotes.toscrape.com/tag/music/page/1/'}
Albert Einstein,“Any fool can know. The point is to understand.”,"{'knowledge': 'https://quotes.toscrape.com/tag/knowledge/page/1/', 'learning': 'https://quotes.toscrape.com/tag/learning/page/1/', 'understanding': 'https://quotes.toscrape.com/tag/understanding/page/1/', 'wisdom': 'https://quotes.toscrape.com/tag/wisdom/page/1/'}"
Albert Einstein,“Logic will get you from A to Z; imagination will get you everywhere.”,{'imagination': 'https://quotes.toscrape.com/tag/imagination/page/1/'}
Albert Einstein,"“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”","{'children': 'https://quotes.toscrape.com/tag/children/page/1/', 'fairy-tales': 'https://quotes.toscrape.com/tag/fairy-tales/page/1/'}"
Albert Einstein,"“If you can't explain it to a six year old, you don't understand it yourself.”","{'simplicity': 'https://quotes.toscrape.com/tag/simplicity/page/1/', 'understand': 'https://quotes.toscrape.com/tag/understand/page/1/'}"
Albert Einstein,“Anyone who has never made a mistake has never tried anything new.”,{'mistakes': 'https://quotes.toscrape.com/tag/mistakes/page/1/'}
Albert Einstein,"“Life is like riding a bicycle. To keep your balance, you must keep moving.”","{'life': 'https://quotes.toscrape.com/tag/life/page/1/', 'simile': 'https://quotes.toscrape.com/tag/simile/page/1/'}"
Albert Einstein,“Try not to become a man of success. Rather become a man of value.”,"{'adulthood': 'https://quotes.toscrape.com/tag/adulthood/page/1/', 'success': 'https://quotes.toscrape.com/tag/success/page/1/', 'value': 'https://quotes.toscrape.com/tag/value/page/1/'}"
Albert Einstein,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,"{'inspirational': 'https://quotes.toscrape.com/tag/inspirational/page/1/', 'life': 'https://quotes.toscrape.com/tag/life/page/1/', 'live': 'https://quotes.toscrape.com/tag/live/page/1/', 'miracle': 'https://quotes.toscrape.com/tag/miracle/page/1/', 'miracles': 'https://quotes.toscrape.com/tag/miracles/page/1/'}"
Alexandre Dumas fils,“The difference between genius and stupidity is: genius has its limits.”,{'misattributed-to-einstein': 'https://quotes.toscrape.com/tag/misattributed-to-einstein/page/1/'}
Alfred Tennyson,“If I had a flower for every time I thought of you...I could walk through my garden forever.”,"{'friendship': 'https://quotes.toscrape.com/tag/friendship/page/1/', 'love': 'https://quotes.toscrape.com/tag/love/page/1/'}"
Allen Saunders,“Life is what happens to us while we are making other plans.”,"{'fate': 'https://quotes.toscrape.com/tag/fate/page/1/', 'life': 'https://quotes.toscrape.com/tag/life/page/1/', 'misattributed-john-lennon': 'https://quotes.toscrape.com/tag/misattributed-john-lennon/page/1/', 'planning': 'https://quotes.toscrape.com/tag/planning/page/1/', 'plans': 'https://quotes.toscrape.com/tag/plans/page/1/'}"
André Gide,“It is better to be hated for what you are than to be loved for what you are not.”,"{'life': 'https://quotes.toscrape.com/tag/life/page/1/', 'love': 'https://quotes.toscrape.com/tag/love/page/1/'}"
Ayn Rand,“The question isn't who is going to let me; it's who is going to stop me.”,{}
Bob Marley,"“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”",{'love': 'https://quotes.toscrape.com/tag/love/page/1/'}
Bob Marley,"“One good thing about music, when it hits you, you feel no pain.”",{'music': 'https://quotes.toscrape.com/tag/music/page/1/'}
Bob Marley,"“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”",{'friendship': 'https://quotes.toscrape.com/tag/friendship/page/1/'}
C.S. Lewis,“Some day you will be old enough to start reading fairy tales again.”,"{'age': 'https://quotes.toscrape.com/tag/age/page/1/', 'fairytales': 'https://quotes.toscrape.com/tag/fairytales/page/1/', 'growing-up': 'https://quotes.toscrape.com/tag/growing-up/page/1/'}"
C.S. Lewis,"“I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.”","{'christianity': 'https://quotes.toscrape.com/tag/christianity/page/1/', 'faith': 'https://quotes.toscrape.com/tag/faith/page/1/', 'religion': 'https://quotes.toscrape.com/tag/religion/page/1/', 'sun': 'https://quotes.toscrape.com/tag/sun/page/1/'}"
C.S. Lewis,"“To love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one, not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket, safe, dark, motionless, airless, it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. To love is to be vulnerable.”",{'love': 'https://quotes.toscrape.com/tag/love/page/1/'}
C.S. Lewis,“We are not necessarily doubting that God will do the best for us; we are wondering how painful the best will turn out to be.”,{'god': 'https://quotes.toscrape.com/tag/god/page/1/'}
C.S. Lewis,“You can never get a cup of tea large enough or a book long enough to suit me.”,"{'books': 'https://quotes.toscrape.com/tag/books/page/1/', 'inspirational': 'https://quotes.toscrape.com/tag/inspirational/page/1/', 'reading': 'https://quotes.toscrape.com/tag/reading/page/1/', 'tea': 'https://quotes.toscrape.com/tag/tea/page/1/'}"
Charles Bukowski,"“That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.”",{'alcohol': 'https://quotes.toscrape.com/tag/alcohol/page/1/'}
Charles Bukowski,“Some people never go crazy. What truly horrible lives they must lead.”,{'humor': 'https://quotes.toscrape.com/tag/humor/page/1/'}
Charles M. Schulz,“All you need is love. But a little chocolate now and then doesn't hurt.”,"{'chocolate': 'https://quotes.toscrape.com/tag/chocolate/page/1/', 'food': 'https://quotes.toscrape.com/tag/food/page/1/', 'humor': 'https://quotes.toscrape.com/tag/humor/page/1/'}"
Douglas Adams,"“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”","{'life': 'https://quotes.toscrape.com/tag/life/page/1/', 'navigation': 'https://quotes.toscrape.com/tag/navigation/page/1/'}"
Dr. Seuss,"“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”","{'learning': 'https://quotes.toscrape.com/tag/learning/page/1/', 'reading': 'https://quotes.toscrape.com/tag/reading/page/1/', 'seuss': 'https://quotes.toscrape.com/tag/seuss/page/1/'}"
Dr. Seuss,"“Today you are You, that is truer than true. There is no one alive who is Youer than You.”","{'comedy': 'https://quotes.toscrape.com/tag/comedy/page/1/', 'life': 'https://quotes.toscrape.com/tag/life/page/1/', 'yourself': 'https://quotes.toscrape.com/tag/yourself/page/1/'}"
Dr. Seuss,“I have heard there are troubles of more than one kind. Some come from ahead and some come from behind. But I've bought a big bat. I'm all ready you see. Now my troubles are going to have troubles with me!”,{'troubles': 'https://quotes.toscrape.com/tag/troubles/page/1/'}
Dr. Seuss,"“A person's a person, no matter how small.”",{'inspirational': 'https://quotes.toscrape.com/tag/inspirational/page/1/'}
Dr. Seuss,"“Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!”","{'humor': 'https://quotes.toscrape.com/tag/humor/page/1/', 'philosophy': 'https://quotes.toscrape.com/tag/philosophy/page/1/'}"
Dr. Seuss,"“I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.”",{'fantasy': 'https://quotes.toscrape.com/tag/fantasy/page/1/'}
E.E. Cummings,“It takes courage to grow up and become who you really are.”,{'courage': 'https://quotes.toscrape.com/tag/courage/page/1/'}
Eleanor Roosevelt,“Do one thing every day that scares you.”,"{'attributed': 'https://quotes.toscrape.com/tag/attributed/page/1/', 'fear': 'https://quotes.toscrape.com/tag/fear/page/1/', 'inspiration': 'https://quotes.toscrape.com/tag/inspiration/page/1/'}"
Eleanor Roosevelt,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,{'misattributed-eleanor-roosevelt': 'https://quotes.toscrape.com/tag/misattributed-eleanor-roosevelt/page/1/'}
Elie Wiesel,"“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”","{'activism': 'https://quotes.toscrape.com/tag/activism/page/1/', 'apathy': 'https://quotes.toscrape.com/tag/apathy/page/1/', 'hate': 'https://quotes.toscrape.com/tag/hate/page/1/', 'indifference': 'https://quotes.toscrape.com/tag/indifference/page/1/', 'inspirational': 'https://quotes.toscrape.com/tag/inspirational/page/1/', 'love': 'https://quotes.toscrape.com/tag/love/page/1/', 'opposite': 'https://quotes.toscrape.com/tag/opposite/page/1/', 'philosophy': 'https://quotes.toscrape.com/tag/philosophy/page/1/'}"
Ernest Hemingway,“There is no friend as loyal as a book.”,"{'books': 'https://quotes.toscrape.com/tag/books/page/1/', 'friends': 'https://quotes.toscrape.com/tag/friends/page/1/', 'novelist-quotes': 'https://quotes.toscrape.com/tag/novelist-quotes/page/1/'}"
Ernest Hemingway,“There is nothing to writing. All you do is sit down at a typewriter and bleed.”,"{'good': 'https://quotes.toscrape.com/tag/good/page/1/', 'writing': 'https://quotes.toscrape.com/tag/writing/page/1/'}"
Friedrich Nietzsche,"“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”","{'friendship': 'https://quotes.toscrape.com/tag/friendship/page/1/', 'lack-of-friendship': 'https://quotes.toscrape.com/tag/lack-of-friendship/page/1/', 'lack-of-love': 'https://quotes.toscrape.com/tag/lack-of-love/page/1/', 'love': 'https://quotes.toscrape.com/tag/love/page/1/', 'marriage': 'https://quotes.toscrape.com/tag/marriage/page/1/', 'unhappy-marriage': 'https://quotes.toscrape.com/tag/unhappy-marriage/page/1/'}"
Garrison Keillor,“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”,"{'humor': 'https://quotes.toscrape.com/tag/humor/page/1/', 'religion': 'https://quotes.toscrape.com/tag/religion/page/1/'}"
George Bernard Shaw,“Life isn't about finding yourself. Life is about creating yourself.”,"{'inspirational': 'https://quotes.toscrape.com/tag/inspirational/page/1/', 'life': 'https://quotes.toscrape.com/tag/life/page/1/', 'yourself': 'https://quotes.toscrape.com/tag/yourself/page/1/'}"
George Carlin,“The reason I talk to myself is because I’m the only one whose answers I accept.”,"{'humor': 'https://quotes.toscrape.com/tag/humor/page/1/', 'insanity': 'https://quotes.toscrape.com/tag/insanity/page/1/', 'lies': 'https://quotes.toscrape.com/tag/lies/page/1/', 'lying': 'https://quotes.toscrape.com/tag/lying/page/1/', 'self-indulgence': 'https://quotes.toscrape.com/tag/self-indulgence/page/1/', 'truth': 'https://quotes.toscrape.com/tag/truth/page/1/'}"
George Eliot,“It is never too late to be what you might have been.”,{'inspirational': 'https://quotes.toscrape.com/tag/inspirational/page/1/'}
George R.R. Martin,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”","{'books': 'https://quotes.toscrape.com/tag/books/page/1/', 'mind': 'https://quotes.toscrape.com/tag/mind/page/1/'}"
George R.R. Martin,"“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”","{'read': 'https://quotes.toscrape.com/tag/read/page/1/', 'readers': 'https://quotes.toscrape.com/tag/readers/page/1/', 'reading': 'https://quotes.toscrape.com/tag/reading/page/1/', 'reading-books': 'https://quotes.toscrape.com/tag/reading-books/page/1/'}"
Harper Lee,“You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.”,{'better-life-empathy': 'https://quotes.toscrape.com/tag/better-life-empathy/page/1/'}
Haruki Murakami,"“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”","{'books': 'https://quotes.toscrape.com/tag/books/page/1/', 'thought': 'https://quotes.toscrape.com/tag/thought/page/1/'}"
Helen Keller,"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”",{'inspirational': 'https://quotes.toscrape.com/tag/inspirational/page/1/'}
J.D. Salinger,"“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”","{'authors': 'https://quotes.toscrape.com/tag/authors/page/1/', 'books': 'https://quotes.toscrape.com/tag/books/page/1/', 'literature': 'https://quotes.toscrape.com/tag/literature/page/1/', 'reading': 'https://quotes.toscrape.com/tag/reading/page/1/', 'writing': 'https://quotes.toscrape.com/tag/writing/page/1/'}"
J.K. Rowling,"“Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory.”",{'integrity': 'https://quotes.toscrape.com/tag/integrity/page/1/'}
J.K. Rowling,"“Do not pity the dead, Harry. Pity the living, and, above all those who live without love.”",{'live-death-love': 'https://quotes.toscrape.com/tag/live-death-love/page/1/'}
J.K. Rowling,"“It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.”",{}
J.K. Rowling,"“Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?”",{'dumbledore': 'https://quotes.toscrape.com/tag/dumbledore/page/1/'}
J.K. Rowling,"“It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”","{'courage': 'https://quotes.toscrape.com/tag/courage/page/1/', 'friends': 'https://quotes.toscrape.com/tag/friends/page/1/'}"
J.K. Rowling,"“To the well-organized mind, death is but the next great adventure.”","{'death': 'https://quotes.toscrape.com/tag/death/page/1/', 'inspirational': 'https://quotes.toscrape.com/tag/inspirational/page/1/'}"
J.K. Rowling,"“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”",{'truth': 'https://quotes.toscrape.com/tag/truth/page/1/'}
J.K. Rowling,"“It matters not what someone is born, but what they grow to be.”",{'dumbledore': 'https://quotes.toscrape.com/tag/dumbledore/page/1/'}
J.K. Rowling,"“It is our choices, Harry, that show what we truly are, far more than our abilities.”","{'abilities': 'https://quotes.toscrape.com/tag/abilities/page/1/', 'choices': 'https://quotes.toscrape.com/tag/choices/page/1/'}"
J.M. Barrie,“To die will be an awfully big adventure.”,"{'adventure': 'https://quotes.toscrape.com/tag/adventure/page/1/', 'love': 'https://quotes.toscrape.com/tag/love/page/1/'}"
J.R.R. Tolkien,“Not all those who wander are lost.”,"{'bilbo': 'https://quotes.toscrape.com/tag/bilbo/page/1/', 'journey': 'https://quotes.toscrape.com/tag/journey/page/1/', 'lost': 'https://quotes.toscrape.com/tag/lost/page/1/', 'quest': 'https://quotes.toscrape.com/tag/quest/page/1/', 'travel': 'https://quotes.toscrape.com/tag/travel/page/1/', 'wander': 'https://quotes.toscrape.com/tag/wander/page/1/'}"
James Baldwin,"“Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.”",{'love': 'https://quotes.toscrape.com/tag/love/page/1/'}
Jane Austen,"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”","{'friendship': 'https://quotes.toscrape.com/tag/friendship/page/1/', 'love': 'https://quotes.toscrape.com/tag/love/page/1/'}"
Jane Austen,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”","{'aliteracy': 'https://quotes.toscrape.com/tag/aliteracy/page/1/', 'books': 'https://quotes.toscrape.com/tag/books/page/1/', 'classic': 'https://quotes.toscrape.com/tag/classic/page/1/', 'humor': 'https://quotes.toscrape.com/tag/humor/page/1/'}"
Jane Austen,"“There are few people whom I really love, and still fewer of whom I think well. The more I see of the world, the more am I dissatisfied with it; and every day confirms my belief of the inconsistency of all human characters, and of the little dependence that can be placed on the appearance of merit or sense.”","{'elizabeth-bennet': 'https://quotes.toscrape.com/tag/elizabeth-bennet/page/1/', 'jane-austen': 'https://quotes.toscrape.com/tag/jane-austen/page/1/'}"
Jane Austen,"“I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”","{'books': 'https://quotes.toscrape.com/tag/books/page/1/', 'library': 'https://quotes.toscrape.com/tag/library/page/1/', 'reading': 'https://quotes.toscrape.com/tag/reading/page/1/'}"
Jane Austen,"“A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.”","{'humor': 'https://quotes.toscrape.com/tag/humor/page/1/', 'love': 'https://quotes.toscrape.com/tag/love/page/1/', 'romantic': 'https://quotes.toscrape.com/tag/romantic/page/1/', 'women': 'https://quotes.toscrape.com/tag/women/page/1/'}"
Jim Henson,“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”,{'humor': 'https://quotes.toscrape.com/tag/humor/page/1/'}
Jimi Hendrix,"“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”","{'death': 'https://quotes.toscrape.com/tag/death/page/1/', 'life': 'https://quotes.toscrape.com/tag/life/page/1/'}"
John Lennon,"“You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”","{'beatles': 'https://quotes.toscrape.com/tag/beatles/page/1/', 'connection': 'https://quotes.toscrape.com/tag/connection/page/1/', 'dreamers': 'https://quotes.toscrape.com/tag/dreamers/page/1/', 'dreaming': 'https://quotes.toscrape.com/tag/dreaming/page/1/', 'dreams': 'https://quotes.toscrape.com/tag/dreams/page/1/', 'hope': 'https://quotes.toscrape.com/tag/hope/page/1/', 'inspirational': 'https://quotes.toscrape.com/tag/inspirational/page/1/', 'peace': 'https://quotes.toscrape.com/tag/peace/page/1/'}"
Jorge Luis Borges,“I have always imagined that Paradise will be a kind of library.”,"{'books': 'https://quotes.toscrape.com/tag/books/page/1/', 'library': 'https://quotes.toscrape.com/tag/library/page/1/'}"
Khaled Hosseini,“But better to get hurt by the truth than comforted with a lie.”,{'life': 'https://quotes.toscrape.com/tag/life/page/1/'}
Madeleine L'Engle,"“You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.”","{'books': 'https://quotes.toscrape.com/tag/books/page/1/', 'children': 'https://quotes.toscrape.com/tag/children/page/1/', 'difficult': 'https://quotes.toscrape.com/tag/difficult/page/1/', 'grown-ups': 'https://quotes.toscrape.com/tag/grown-ups/page/1/', 'write': 'https://quotes.toscrape.com/tag/write/page/1/', 'writers': 'https://quotes.toscrape.com/tag/writers/page/1/', 'writing': 'https://quotes.toscrape.com/tag/writing/page/1/'}"
Marilyn Monroe,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”","{'be-yourself': 'https://quotes.toscrape.com/tag/be-yourself/page/1/', 'inspirational': 'https://quotes.toscrape.com/tag/inspirational/page/1/'}"
Marilyn Monroe,"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”","{'friends': 'https://quotes.toscrape.com/tag/friends/page/1/', 'heartbreak': 'https://quotes.toscrape.com/tag/heartbreak/page/1/', 'inspirational': 'https://quotes.toscrape.com/tag/inspirational/page/1/', 'life': 'https://quotes.toscrape.com/tag/life/page/1/', 'love': 'https://quotes.toscrape.com/tag/love/page/1/', 'sisters': 'https://quotes.toscrape.com/tag/sisters/page/1/'}"
Marilyn Monroe,“The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.”,{'love': 'https://quotes.toscrape.com/tag/love/page/1/'}
Marilyn Monroe,"“If you can make a woman laugh, you can make her do anything.”","{'girls': 'https://quotes.toscrape.com/tag/girls/page/1/', 'love': 'https://quotes.toscrape.com/tag/love/page/1/'}"
Marilyn Monroe,"“A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.”",{'attributed-no-source': 'https://quotes.toscrape.com/tag/attributed-no-source/page/1/'}
Marilyn Monroe,“You believe lies so you eventually learn to trust no one but yourself.”,{}
Marilyn Monroe,"“I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.”",{'attributed-no-source': 'https://quotes.toscrape.com/tag/attributed-no-source/page/1/'}
Mark Twain,“Never tell the truth to people who are not worthy of it.”,{'truth': 'https://quotes.toscrape.com/tag/truth/page/1/'}
Mark Twain,“A lie can travel half way around the world while the truth is putting on its shoes.”,"{'misattributed-mark-twain': 'https://quotes.toscrape.com/tag/misattributed-mark-twain/page/1/', 'truth': 'https://quotes.toscrape.com/tag/truth/page/1/'}"
Mark Twain,"“Good friends, good books, and a sleepy conscience: this is the ideal life.”","{'books': 'https://quotes.toscrape.com/tag/books/page/1/', 'contentment': 'https://quotes.toscrape.com/tag/contentment/page/1/', 'friends': 'https://quotes.toscrape.com/tag/friends/page/1/', 'friendship': 'https://quotes.toscrape.com/tag/friendship/page/1/', 'life': 'https://quotes.toscrape.com/tag/life/page/1/'}"
Mark Twain,“The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.”,"{'death': 'https://quotes.toscrape.com/tag/death/page/1/', 'life': 'https://quotes.toscrape.com/tag/life/page/1/'}"
Mark Twain,“′Classic′ - a book which people praise and don't read.”,"{'books': 'https://quotes.toscrape.com/tag/books/page/1/', 'classic': 'https://quotes.toscrape.com/tag/classic/page/1/', 'reading': 'https://quotes.toscrape.com/tag/reading/page/1/'}"
Mark Twain,“I have never let my schooling interfere with my education.”,{'education': 'https://quotes.toscrape.com/tag/education/page/1/'}
Martin Luther King Jr.,“Only in the darkness can you see the stars.”,"{'hope': 'https://quotes.toscrape.com/tag/hope/page/1/', 'inspirational': 'https://quotes.toscrape.com/tag/inspirational/page/1/'}"
Mother Teresa,"“If you judge people, you have no time to love them.”",{'attributed-no-source': 'https://quotes.toscrape.com/tag/attributed-no-source/page/1/'}
Mother Teresa,“Not all of us can do great things. But we can do small things with great love.”,"{'misattributed-to-mother-teresa': 'https://quotes.toscrape.com/tag/misattributed-to-mother-teresa/page/1/', 'paraphrased': 'https://quotes.toscrape.com/tag/paraphrased/page/1/'}"
Pablo Neruda,"“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”","{'love': 'https://quotes.toscrape.com/tag/love/page/1/', 'poetry': 'https://quotes.toscrape.com/tag/poetry/page/1/'}"
Ralph Waldo Emerson,“Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.”,"{'life': 'https://quotes.toscrape.com/tag/life/page/1/', 'regrets': 'https://quotes.toscrape.com/tag/regrets/page/1/'}"
Ralph Waldo Emerson,“For every minute you are angry you lose sixty seconds of happiness.”,{'happiness': 'https://quotes.toscrape.com/tag/happiness/page/1/'}
Stephenie Meyer,"“He's like a drug for you, Bella.”","{'drug': 'https://quotes.toscrape.com/tag/drug/page/1/', 'romance': 'https://quotes.toscrape.com/tag/romance/page/1/', 'simile': 'https://quotes.toscrape.com/tag/simile/page/1/'}"
Steve Martin,"“A day without sunshine is like, you know, night.”","{'humor': 'https://quotes.toscrape.com/tag/humor/page/1/', 'obvious': 'https://quotes.toscrape.com/tag/obvious/page/1/', 'simile': 'https://quotes.toscrape.com/tag/simile/page/1/'}"
Suzanne Collins,"“Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.”",{'humor': 'https://quotes.toscrape.com/tag/humor/page/1/'}
Suzanne Collins,“You don’t forget the face of the person who was your last hope.”,{'the-hunger-games': 'https://quotes.toscrape.com/tag/the-hunger-games/page/1/'}
Terry Pratchett,"“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”","{'humor': 'https://quotes.toscrape.com/tag/humor/page/1/', 'open-mind': 'https://quotes.toscrape.com/tag/open-mind/page/1/', 'thinking': 'https://quotes.toscrape.com/tag/thinking/page/1/'}"
Thomas A. Edison,"“I have not failed. I've just found 10,000 ways that won't work.”","{'edison': 'https://quotes.toscrape.com/tag/edison/page/1/', 'failure': 'https://quotes.toscrape.com/tag/failure/page/1/', 'inspirational': 'https://quotes.toscrape.com/tag/inspirational/page/1/', 'paraphrased': 'https://quotes.toscrape.com/tag/paraphrased/page/1/'}"
W.C. Fields,“I am free of all prejudice. I hate everyone equally. ”,"{'humor': 'https://quotes.toscrape.com/tag/humor/page/1/', 'sinister': 'https://quotes.toscrape.com/tag/sinister/page/1/'}"
William Nicholson,“We read to know we're not alone.”,"{'misattributed-to-c-s-lewis': 'https://quotes.toscrape.com/tag/misattributed-to-c-s-lewis/page/1/', 'reading': 'https://quotes.toscrape.com/tag/reading/page/1/'}"
